FRAME NR,SET SIZE,GROUND TRUTH X,GROUND TRUTH Y,GROUND TRUTH THETA,MCL X,MCL Y,MCL THETA,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,TIMESTAMP
50,200,3.46659403613,-2.38886944081,-2427.26298495,1.8623,0.21826,8.4219,3.46659403613,-2.38886944081,-42.3637308991,1688238643.810498
51,200,3.46707050568,-2.39001810337,-42.7735515996,1.8809,0.25488,16.734,3.46664625565,-2.38905004412,-31.9053867658,1688238643.9514375
52,200,3.46817361595,-2.38916551445,-33.2809481365,1.9229,0.26807,33.812,3.46642294564,-2.38908990145,-16.3149197816,1688238644.093084
53,200,3.46863126832,-2.39008630899,-20.6095475074,1.999,0.15735,45.656,3.46747097437,-2.38875490735,-0.357590309143,1688238644.2341774
54,200,3.47,-2.389,-9.40796699605,2.0391,0.14954,60.562,3.46675419967,-2.38792177584,11.630118713,1688238644.4002514
55,200,3.46927776085,-2.38705864733,3.99398032528,1.8896,-0.44873,54.125,3.46710030057,-2.38775554866,23.6814458163,1688238644.4892662
56,200,3.47195463122,-2.38585160878,14.6066738355,2.0898,-0.5918,51.344,3.46660242296,-2.38838460491,34.9478525091,1688238644.5791862
57,200,3.47085935829,-2.38418498534,25.4751364559,2.1895,-0.48022,47.125,3.46661365007,-2.38873323132,43.7221779516,1688238644.668497
58,200,3.47194051749,-2.38296891088,33.9086241552,2.1621,-0.54639,42.312,3.46668268008,-2.38882002584,50.6084765482,1688238644.7576158
59,200,3.46960849882,-2.3842326706,49.4808113897,2.1621,-0.5459,50.0,3.46604988141,-2.38920532879,58.2581645285,1688238644.8701315
60,200,3.47087014428,-2.3839865576,57.2035776296,1.708,-0.40747,29.188,3.46684057138,-2.38913859166,64.0010238671,1688238644.9623644
61,200,3.47,-2.385,63.896253313,1.9072,-0.31006,35.594,3.4669878585,-2.38949386002,68.9897384339,1688238645.0581052
62,200,3.46999738051,-2.38400674968,69.0297371012,1.9062,-0.31006,39.594,3.46694721158,-2.38919161246,72.9280904898,1688238645.149706
63,200,3.47108231393,-2.38297326523,72.9521901296,1.9062,-0.30981,43.188,3.46733023365,-2.38882315841,76.5507720409,1688238645.2411747
64,200,3.47099038906,-2.38294035592,76.6690794526,1.9062,-0.30981,46.25,3.46742367547,-2.38855416204,79.5127072899,1688238645.33222
65,200,3.47099187091,-2.38204459357,80.8485487382,1.9062,-0.30981,49.875,3.4673766699,-2.38849174484,83.1562659134,1688238645.424065
66,200,3.47117811085,-2.38091080521,83.7714012277,1.9072,-0.30981,53.344,3.4675784451,-2.3883476018,86.7034787352,1688238645.5158904
67,200,3.47106484162,-2.38180685502,85.8314222327,1.9072,-0.3103,56.0,3.46771545434,-2.38812370377,89.3523509653,1688238645.608177
68,200,3.47178516936,-2.38061790156,89.6434225099,1.9072,-0.3103,59.812,3.46739536509,-2.38774475722,93.1740030502,1688238645.6999567
69,200,3.4709689611,-2.38104875397,95.4217944547,1.9756,-0.28589,73.312,3.46737611354,-2.38792842435,95.6959364139,1688238645.795207
70,191,3.471,-2.38,97.5575237769,1.9756,-0.28589,75.0,3.46759384423,-2.38816332221,97.4870767461,1688238645.9097292
71,191,3.47003835366,-2.3810148447,99.2494964686,2.0605,-0.03833,86.5,3.46764314984,-2.38859096421,99.4013047737,1688238646.025981
72,178,3.46889350539,-2.38194912792,101.928353629,2.0605,-0.03833,89.375,3.46750924631,-2.3885247864,102.096576696,1688238646.1578572
73,178,3.46903932861,-2.38279075469,102.718827099,1.9336,0.0013275,91.438,3.46749398599,-2.38835296499,103.389987165,1688238646.2741315
74,169,3.46893952463,-2.38200235395,105.207105116,1.9404,0.011063,98.188,3.4672654076,-2.38836556297,104.652285675,1688238646.4109786
75,169,3.46799275449,-2.38097795606,107.427600179,1.8857,-0.10522,96.25,3.46734811178,-2.38835898145,106.266707659,1688238646.5245616
76,161,3.46716826262,-2.3805285676,108.055906864,1.8486,-0.071899,98.625,3.46623513239,-2.38633815652,107.458716542,1688238646.6568327
77,161,3.46508057842,-2.37791419611,108.869047246,1.9316,0.014351,120.5,3.46402069505,-2.38266689139,108.272976654,1688238646.7677782
78,153,3.46461097799,-2.37677810026,110.601807474,1.9385,0.03093,123.62,3.45787115474,-2.37359061868,109.198562258,1688238646.8981206
79,153,3.4600466985,-2.37116711807,111.650090407,1.8984,0.2793,146.62,3.44888268244,-2.36045722506,109.633941606,1688238647.007725
80,153,3.45665040022,-2.36042585025,112.398501715,1.8809,0.27197,145.38,3.43905399075,-2.34351226235,110.214294195,1688238647.1174955
81,147,3.45231656208,-2.34967015124,112.423923406,1.8486,0.28101,142.38,3.42255902851,-2.31910381642,111.088658938,1688238647.2448509
82,147,3.43467124417,-2.32773599933,113.149380215,1.9834,0.25073,143.38,3.39926885729,-2.28894910776,111.20461763,1688238647.3530998
83,140,3.42051576229,-2.30507434285,113.437370861,2.0293,0.21289,142.62,3.37568441089,-2.25624504306,111.088736006,1688238647.4794228
84,140,3.40655935065,-2.28425102845,113.91939912,1.9854,0.15613,143.0,3.34964040688,-2.2165969118,111.928776864,1688238647.5884576
85,140,3.38034713136,-2.24926489116,114.759883868,1.9922,0.15466,145.62,3.32465928178,-2.18072138209,112.769261611,1688238647.6977804
86,133,3.36724132293,-2.22385014273,114.172593382,2.0137,0.15466,146.75,3.29884949473,-2.14412405805,113.594924156,1688238647.8233182
87,133,3.34789353611,-2.18509265967,115.262352022,2.1465,0.14905,150.88,3.26941380355,-2.10487796675,114.208523597,1688238647.9329054
88,127,3.3195872623,-2.14684725943,117.482773179,2.1992,0.15503,159.5,3.24306628644,-2.06948485343,114.586263329,1688238648.0598376
89,127,3.29237419573,-2.10986622945,118.294372863,2.3281,0.20032,170.75,3.21389684934,-2.02972236535,115.371433829,1688238648.1672206
90,127,3.27143772627,-2.07971433564,118.344744194,2.3887,0.21167,-179.25,3.18798950532,-1.99357379669,115.918531226,1688238648.2736733
91,121,3.24114697654,-2.04313643736,118.508495492,2.3711,0.18359,-177.75,3.16291415679,-1.95778070754,116.25716528,1688238648.3948834
92,121,3.21550356297,-2.0103871627,118.531002278,2.2637,0.27417,-149.88,3.13385604219,-1.91743318584,116.447798875,1688238648.4993713
93,121,3.195,-1.978,119.095007296,2.2539,0.28125,-147.0,3.10558215699,-1.87737391292,116.584887119,1688238648.6038623
94,115,3.1660195678,-1.94027818681,119.693105745,2.1973,0.25195,-146.75,3.08021171852,-1.84036342082,116.566917184,1688238648.722477
95,115,3.14611701187,-1.90790283497,119.926168876,2.248,0.4563,-121.88,3.05530475866,-1.8031970093,116.552826911,1688238648.826956
96,108,3.11777386412,-1.87307347369,120.23002108,2.207,0.448,-124.12,3.03022649502,-1.76691333116,116.56367661,1688238648.9454029
97,108,3.09501719977,-1.84210417218,118.717720801,2.2285,0.61182,-115.5,2.99956588082,-1.72089623987,116.609858648,1688238649.0447278
98,102,3.06579391972,-1.7992415569,119.748378651,2.2168,0.64307,-116.75,2.97695813808,-1.68884047929,116.838084888,1688238649.1567311
99,102,3.04293227888,-1.76443842441,119.404357515,2.0234,0.75,-114.5,2.95150770875,-1.65170286177,116.888729965,1688238649.2568707
100,95,3.02,-1.727,120.103413015,2.0332,0.74512,-113.75,2.92035927274,-1.60674783064,117.173610789,1688238649.3669164
101,95,2.99260726867,-1.69176781322,120.213139974,1.875,0.90771,-101.5,2.89486803746,-1.57016763368,117.254108641,1688238649.462723
