FRAME NR,SET SIZE,GROUND TRUTH X,GROUND TRUTH Y,GROUND TRUTH THETA,MCL X,MCL Y,MCL THETA,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,TIMESTAMP
82,200,0.398291017316,-2.41775839387,1337.85514559,1.8291,0.019501,-3.6445,0.398291017316,-2.41775839387,23.3499772053,1688237259.7858195
83,200,0.398727687572,-2.41705035524,22.7208023743,1.8564,-0.038422,-6.707,0.400445735375,-2.41468530999,21.5377578406,1688237259.9342911
84,200,0.402338056129,-2.41164679038,21.5096967986,1.873,-0.074402,-10.422,0.406586932759,-2.40546426523,18.8954663422,1688237260.0828583
85,200,0.404755368348,-2.40931124347,20.2679018011,1.916,-0.084167,-17.172,0.415901333167,-2.39146349429,15.8090117031,1688237260.23051
86,200,0.412698496168,-2.39971074769,17.4874221708,1.9189,-0.083618,-19.734,0.428874148479,-2.37495267651,13.2344079856,1688237260.3718157
87,200,0.42178350167,-2.3935899676,14.8656614693,1.8945,-0.11383,-24.703,0.448009443173,-2.34938948799,10.7506936874,1688237260.518745
88,200,0.434962340888,-2.37773649812,12.1154582523,1.8955,-0.11255,-26.641,0.466573511619,-2.32408209959,8.8018573538,1688237260.6548204
89,200,0.452,-2.364,10.2616741108,1.8945,-0.11096,-28.266,0.491505985359,-2.28997425916,7.21057680409,1688237260.7908766
90,200,0.47644181313,-2.32943645105,7.15773840828,1.8994,-0.10852,-30.406,0.515715382174,-2.24920611552,5.43719229111,1688237260.9259446
91,200,0.4982394518,-2.29617221089,5.91212077613,1.9033,-0.12378,-33.094,0.539495122851,-2.20453280629,4.23991132188,1688237261.0702236
92,193,0.528186547423,-2.2682974618,4.45366159375,1.9004,-0.13977,-34.875,0.563293394018,-2.15680223818,3.50128542242,1688237261.236626
93,185,0.551826687895,-2.23081188029,3.7351547561,1.8262,-0.27222,-41.812,0.585888781991,-2.109582593,3.21718155304,1688237261.3789856
94,177,0.580875722199,-2.18891695073,3.19061648692,1.8193,0.048218,-34.125,0.607488069,-2.06240396464,2.86387124212,1688237261.5181377
95,169,0.610093109459,-2.15230684151,3.45054706566,1.9062,0.21985,-43.344,0.63273244891,-2.00495514211,3.03066492106,1688237261.657731
96,161,0.631561247951,-2.11554248454,2.69391738728,2.0098,0.18311,-57.062,0.65001401921,-1.96317896542,2.87579492389,1688237261.796266
97,154,0.656920129918,-2.07315999299,2.7461029791,1.9014,0.038818,-81.812,0.67171934221,-1.91151396095,2.54589915252,1688237261.9336734
98,154,0.676828166623,-2.0322207058,2.91348001221,1.9805,-0.15527,-94.312,0.689251050682,-1.86927512262,2.24716925164,1688237262.0483558
99,142,0.69675721366,-1.99023922071,2.87269506253,1.9824,-0.15979,-94.375,0.708265605523,-1.82253705516,1.8223035992,1688237262.174574
100,136,0.71995825074,-1.94456745396,2.24378315082,2.1562,-0.10651,-97.312,0.728342993364,-1.77514857466,1.82842468152,1688237262.3031995
101,130,0.736864383222,-1.90277403808,2.28346351205,2.2129,-0.20483,-109.62,0.745551655012,-1.73347881475,1.86810504276,1688237262.4315917
102,124,0.757788518944,-1.86887049776,1.93777657492,2.168,0.060272,-108.94,0.765450389279,-1.68651461898,1.94581058893,1688237262.550636
103,124,0.773638796511,-1.83630950931,1.31732506647,2.2383,-0.0039291,-101.19,0.78083690557,-1.64922860169,1.52254317113,1688237262.66022
104,114,0.791846983072,-1.80264924983,1.80359374264,2.2676,-0.0017853,-101.44,0.798606786478,-1.60735670653,1.56641350363,1688237262.7835922
105,114,0.811214249823,-1.76110136238,1.63434269892,2.3027,0.15698,-96.5,0.81699490666,-1.56157609324,1.27368377107,1688237262.8909364
106,105,0.82409550065,-1.73031484521,1.50234900277,2.2773,0.15149,-98.312,0.832024065657,-1.52508963181,1.01219221957,1688237263.0107799
