FRAME NR,SET SIZE,GROUND TRUTH X,GROUND TRUTH Y,GROUND TRUTH THETA,MCL X,MCL Y,MCL THETA,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,TIMESTAMP
50,100,3.46659403613,-2.38886944081,-2427.26298495,1.8164,0.1189,2.502,3.46659403613,-2.38886944081,-42.3637308991,1688231227.2552645
51,100,3.46707050568,-2.39001810337,-42.7735515996,1.8096,0.29199,26.156,3.46664625565,-2.38905004412,-31.9053867658,1688231227.3571544
52,100,3.46817361595,-2.38916551445,-33.2809481365,1.7695,0.46875,47.594,3.46642294564,-2.38908990145,-16.3149197816,1688231227.4596372
53,100,3.46863126832,-2.39008630899,-20.6095475074,1.8564,0.69922,69.375,3.46747097437,-2.38875490735,-0.357590309143,1688231227.5599844
54,100,3.47,-2.389,-9.40796699605,1.8467,0.78271,84.0,3.46675419967,-2.38792177584,11.630118713,1688231227.669943
55,100,3.46927776085,-2.38705864733,3.99398032528,2.5488,0.50195,130.62,3.46710030057,-2.38775554866,23.6814458163,1688231227.749141
56,100,3.47195463122,-2.38585160878,14.6066738355,2.7773,0.39893,140.75,3.46660242296,-2.38838460491,34.9478525091,1688231227.8267522
57,100,3.47085935829,-2.38418498534,25.4751364559,2.8672,0.59277,144.0,3.46661365007,-2.38873323132,43.7221779516,1688231227.9049587
58,100,3.47194051749,-2.38296891088,33.9086241552,3.0098,0.5083,150.0,3.46668268008,-2.38882002584,50.6084765482,1688231227.9820504
59,100,3.46960849882,-2.3842326706,49.4808113897,3.1816,0.28516,154.62,3.46604988141,-2.38920532879,58.2581645285,1688231228.073589
60,100,3.47087014428,-2.3839865576,57.2035776296,2.5664,-1.1826,-173.75,3.46684057138,-2.38913859166,64.0010238671,1688231228.1483724
61,100,3.47,-2.385,63.896253313,2.5684,-1.2539,-168.38,3.4669878585,-2.38949386002,68.9897384339,1688231228.224796
62,100,3.46999738051,-2.38400674968,69.0297371012,2.627,-1.4062,-165.38,3.46694721158,-2.38919161246,72.9280904898,1688231228.2999191
63,100,3.47108231393,-2.38297326523,72.9521901296,2.627,-1.4062,-162.0,3.46733023365,-2.38882315841,76.5507720409,1688231228.3761714
64,100,3.47099038906,-2.38294035592,76.6690794526,2.627,-1.4062,-158.88,3.46742367547,-2.38855416204,79.5127072899,1688231228.4513495
65,100,3.47099187091,-2.38204459357,80.8485487382,2.627,-1.4062,-154.88,3.4673766699,-2.38849174484,83.1562659134,1688231228.5281892
66,100,3.47117811085,-2.38091080521,83.7714012277,2.5918,-1.3994,-144.38,3.4675784451,-2.3883476018,86.7034787352,1688231228.6041148
67,100,3.47106484162,-2.38180685502,85.8314222327,2.5918,-1.3994,-142.0,3.46771545434,-2.38812370377,89.3523509653,1688231228.6810377
68,100,3.47178516936,-2.38061790156,89.6434225099,2.5469,-1.374,-128.75,3.46739536509,-2.38774475722,93.1740030502,1688231228.7575614
69,100,3.4709689611,-2.38104875397,95.4217944547,2.5059,-1.3486,-115.88,3.46737611354,-2.38792842435,95.6959364139,1688231228.8352814
70,100,3.471,-2.38,97.5575237769,2.459,-1.3184,-105.25,3.46759384423,-2.38816332221,97.4870767461,1688231228.9121468
71,100,3.47003835366,-2.3810148447,99.2494964686,2.4648,-1.3154,-87.0,3.46764314984,-2.38859096421,99.4013047737,1688231228.9910247
72,100,3.46889350539,-2.38194912792,101.928353629,2.4648,-1.3154,-84.75,3.46750924631,-2.3885247864,102.096576696,1688231229.0681345
73,100,3.46903932861,-2.38279075469,102.718827099,2.4922,-1.3477,-59.5,3.46749398599,-2.38835296499,103.389987165,1688231229.1593275
74,100,3.46893952463,-2.38200235395,105.207105116,2.3164,-1.124,10.5,3.4672654076,-2.38836556297,104.652285675,1688231229.2445424
75,100,3.46799275449,-2.38097795606,107.427600179,2.2988,-1.1318,21.25,3.46734811178,-2.38835898145,106.266707659,1688231229.3332047
76,100,3.46716826262,-2.3805285676,108.055906864,2.3379,-1.1807,27.5,3.46623513239,-2.38633815652,107.458716542,1688231229.4204302
77,100,3.46508057842,-2.37791419611,108.869047246,2.3672,-1.2227,29.75,3.46402069505,-2.38266689139,108.272976654,1688231229.5095115
78,100,3.46461097799,-2.37677810026,110.601807474,2.3594,-1.252,38.0,3.45787115474,-2.37359061868,109.198562258,1688231229.5974054
79,100,3.4600466985,-2.37116711807,111.650090407,2.3906,-1.2744,38.75,3.44888268244,-2.36045722506,109.633941606,1688231229.6864219
80,100,3.45665040022,-2.36042585025,112.398501715,2.3867,-1.3076,44.5,3.43905399075,-2.34351226235,110.214294195,1688231229.7750146
81,100,3.45231656208,-2.34967015124,112.423923406,2.3926,-1.3203,49.0,3.42255902851,-2.31910381642,111.088658938,1688231229.8642964
82,100,3.43467124417,-2.32773599933,113.149380215,2.4043,-1.3271,52.5,3.39926885729,-2.28894910776,111.20461763,1688231229.9526045
83,100,3.42051576229,-2.30507434285,113.437370861,2.4043,-1.3125,53.5,3.37568441089,-2.25624504306,111.088736006,1688231230.0424771
84,100,3.40655935065,-2.28425102845,113.91939912,2.4102,-1.29,53.25,3.34964040688,-2.2165969118,111.928776864,1688231230.1316485
85,100,3.38034713136,-2.24926489116,114.759883868,2.4023,-1.2725,54.75,3.32465928178,-2.18072138209,112.769261611,1688231230.2223787
86,100,3.36724132293,-2.22385014273,114.172593382,2.3926,-1.2725,57.0,3.29884949473,-2.14412405805,113.594924156,1688231230.3128343
87,100,3.34789353611,-2.18509265967,115.262352022,2.3887,-1.2383,55.5,3.26941380355,-2.10487796675,114.208523597,1688231230.404059
88,100,3.3195872623,-2.14684725943,117.482773179,2.3887,-1.2334,55.5,3.24306628644,-2.06948485343,114.586263329,1688231230.4947212
89,100,3.29237419573,-2.10986622945,118.294372863,2.3926,-1.2373,57.0,3.21389684934,-2.02972236535,115.371433829,1688231230.585561
90,100,3.27143772627,-2.07971433564,118.344744194,2.3848,-1.2617,60.0,3.18798950532,-1.99357379669,115.918531226,1688231230.6757402
91,100,3.24114697654,-2.04313643736,118.508495492,2.3809,-1.2393,60.0,3.16291415679,-1.95778070754,116.25716528,1688231230.7796118
92,100,3.21550356297,-2.0103871627,118.531002278,2.252,-1.332,96.0,3.13385604219,-1.91743318584,116.447798875,1688231230.8802874
93,100,3.195,-1.978,119.095007296,2.2031,-1.3223,98.0,3.10558215699,-1.87737391292,116.584887119,1688231230.9792416
94,100,3.1660195678,-1.94027818681,119.693105745,2.2031,-1.2949,97.75,3.08021171852,-1.84036342082,116.566917184,1688231231.0796602
95,100,3.14611701187,-1.90790283497,119.926168876,2.1875,-1.3076,98.25,3.05530475866,-1.8031970093,116.552826911,1688231231.1787205
