FRAME NR,SET SIZE,GROUND TRUTH X,GROUND TRUTH Y,GROUND TRUTH THETA,MCL X,MCL Y,MCL THETA,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,TIMESTAMP
95,100,0.50506547953,-2.49273312024,5517.41263246,2.0723,-0.29272,-10.812,0.50506547953,-2.49273312024,96.2970166276,1688230708.4315972
96,100,0.504276133972,-2.49208525914,96.1827243162,2.1172,-0.42236,-11.914,0.505147957929,-2.48944774609,96.033616443,1688230708.5286026
97,100,0.506070885107,-2.49208324507,96.6460009725,2.1406,-0.36792,-13.266,0.505643870818,-2.48227154016,95.5382491867,1688230708.6269965
98,100,0.503192653172,-2.48488359902,95.5213683514,2.1641,-0.32178,-13.438,0.504418539769,-2.46926080777,94.5052598643,1688230708.7249117
99,100,0.503724968143,-2.47415444496,94.9670148562,2.1523,-0.30225,-12.508,0.504132023127,-2.44936313313,93.4176456129,1688230708.823523
100,100,0.506,-2.471,93.7072473936,2.209,-0.36841,-24.688,0.505122673646,-2.4277971144,92.2387340341,1688230708.9192483
101,100,0.508353562293,-2.44626330587,92.5393403526,2.2266,-0.34741,-26.203,0.50686603945,-2.39479816784,91.2439171515,1688230709.0152884
102,100,0.512569121254,-2.42556569531,91.6279081084,2.2441,-0.33203,-27.906,0.508826532027,-2.35821721582,89.4664681684,1688230709.1101882
103,100,0.517631830723,-2.39879364526,90.2897781056,2.3027,-0.27612,-32.781,0.511757223862,-2.31548943083,87.7043605297,1688230709.204077
104,100,0.526068439343,-2.37246049369,89.2980631673,2.3125,-0.28369,-33.031,0.515274185919,-2.2671228062,86.0155342271,1688230709.2977855
105,100,0.533572073774,-2.33575655351,87.6469821464,2.3555,-0.27319,-40.844,0.520927913502,-2.2136413749,84.5764011951,1688230709.3906293
106,100,0.541435162841,-2.28774131765,85.7646536319,2.3809,-0.25269,-44.938,0.526782204221,-2.1537602858,82.7294977605,1688230709.4826617
107,100,0.552159737497,-2.2469049931,84.2503566637,2.4102,-0.25146,-46.719,0.532402936931,-2.08948564704,81.5019978656,1688230709.5754566
108,100,0.567211648486,-2.18571948703,81.9066883044,2.4336,-0.27466,-46.062,0.537378622315,-2.0317969618,80.5210402807,1688230709.6669812
109,100,0.588186976275,-2.14067545509,80.9577587746,2.4395,-0.30811,-44.156,0.540780756029,-1.9660581917,80.7953534356,1688230709.7704766
110,100,0.601200801925,-2.08023434025,81.5383946714,2.2598,-0.0062485,-64.562,0.541476141388,-1.90060436382,82.1121509276,1688230709.8597014
111,100,0.610069110694,-2.03616763447,81.6793884774,2.25,0.082214,-68.188,0.541540328378,-1.84180704473,83.3265229022,1688230709.9490032
112,100,0.618227721364,-1.97420030539,82.3670311204,2.2051,0.14062,-69.312,0.539757251431,-1.7762793593,84.5751033643,1688230710.038709
113,100,0.631617965823,-1.91454681307,84.3338776663,2.1836,0.19702,-69.5,0.535536439785,-1.7037822858,85.6168890447,1688230710.1278481
114,100,0.628617130583,-1.84900554177,84.995247729,2.1621,0.22241,-70.75,0.531068828728,-1.6383246376,86.2782591074,1688230710.2155776
115,100,0.635642699024,-1.80450892281,85.8654774882,2.1426,0.25122,-70.75,0.526415316375,-1.58009130523,86.5823180025,1688230710.3042793
116,100,0.63820261468,-1.73370407404,86.2969053751,2.1582,0.32471,-69.875,0.520656814258,-1.51521428675,87.2480339485,1688230710.3930607
117,100,0.63565951553,-1.66198681838,87.8606299504,2.1504,0.33862,-71.562,0.515408803487,-1.44976288881,87.5802582557,1688230710.4926577
118,100,0.637199385337,-1.59839281928,88.3371390075,2.2695,0.70801,-89.75,0.511059632856,-1.37731715347,88.1024107332,1688230710.5861118
119,100,0.635957363391,-1.53885542589,89.0493259935,2.2676,0.72803,-88.0,0.508468897255,-1.31822817137,88.8602365222,1688230710.6799424
120,100,0.634186580179,-1.47031329822,88.9732837879,2.25,0.73096,-86.125,0.504864183419,-1.25098039334,89.450772941,1688230710.773748
121,100,0.631951944989,-1.42502181682,89.8741910798,2.2422,0.73779,-83.438,0.501576773921,-1.18416078281,90.1516379039,1688230710.867626
122,100,0.629,-1.371,89.902807634,2.2305,0.72754,-82.062,0.498440092338,-1.1168825547,90.291380396,1688230710.960951
123,100,0.628748740799,-1.31353778476,90.5970632125,2.207,0.75732,-82.75,0.496291319125,-1.05713846462,90.2681404291,1688230711.054646
124,100,0.624673615314,-1.23815746347,90.6809829413,2.1895,0.74316,-80.125,0.493491667857,-0.982147603021,90.4063507089,1688230711.14916
125,100,0.62278244882,-1.17622599161,90.4420650607,2.1797,0.73096,-79.562,0.491508966136,-0.914108335876,90.3910095519,1688230711.2556634
126,100,0.618528937785,-1.09594398437,90.9662493561,2.1699,1.0986,-83.688,0.489122101873,-0.853556659781,90.6420333864,1688230711.3548512
127,100,0.617714720362,-1.03538144371,91.2497714621,2.1699,1.0781,-82.75,0.487120882118,-0.785400450151,90.7406013381,1688230711.4509237
128,100,0.615233416625,-0.963359149532,91.0363960837,2.1699,1.0615,-85.312,0.48495422554,-0.710125292372,90.0451141799,1688230711.5469055
129,100,0.61510333624,-0.913612132589,91.2182405202,2.1719,1.0352,-85.312,0.484787289361,-0.649938627413,89.9334171759,1688230711.6433902
130,100,0.61744640567,-0.846759204349,90.1298717416,2.1758,0.94434,-82.062,0.484468515493,-0.582020915345,89.9352728346,1688230711.7389157
131,100,0.619654425873,-0.774340106992,91.1265591765,2.166,0.87256,-81.5,0.482944900792,-0.514089448936,90.4249903988,1688230711.8342407
132,100,0.6228365367,-0.715993230201,89.9449255456,2.2207,0.81104,-77.188,0.481870155117,-0.453917547614,90.5380427251,1688230711.9289825
133,100,0.62173786968,-0.657768579303,91.4917805385,2.2637,0.76416,-75.25,0.479329051458,-0.38623254664,90.3286291122,1688230712.0356562
134,100,0.619833839501,-0.584292112772,91.7515172284,2.3008,0.92432,-67.688,0.47714887629,-0.318368842112,90.7429497717,1688230712.1319451
135,100,0.625121456102,-0.533966927551,91.586754824,2.3242,0.91699,-66.875,0.47538011529,-0.249985866326,91.3080153828,1688230712.2279184
136,100,0.614,-0.488,91.7190838445,2.3203,0.87695,-67.438,0.473465903863,-0.189551213862,91.2938351365,1688230712.323853
137,100,0.612152275035,-0.426679009984,91.3615931158,2.3223,0.84033,-69.562,0.471429693758,-0.122052836161,90.9511342074,1688230712.4208663
138,100,0.611450190209,-0.352683589105,90.9416728258,2.3203,0.79297,-71.688,0.468717262164,-0.0459484511153,90.2638554252,1688230712.516906
139,100,0.613022421796,-0.292067372058,90.6242387808,2.3184,0.73389,-73.312,0.46768441589,0.014813416258,89.4771923366,1688230712.613514
