FRAME NR,SET SIZE,GROUND TRUTH X,GROUND TRUTH Y,GROUND TRUTH THETA,MCL X,MCL Y,MCL THETA,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,TIMESTAMP
50,100,3.46659403613,-2.38886944081,-2427.26298495,1.7773,-0.27515,-23.188,3.46659403613,-2.38886944081,-42.3637308991,1688231282.4857824
51,100,3.46707050568,-2.39001810337,-42.7735515996,1.6309,-0.38818,-9.0,3.46664625565,-2.38905004412,-31.9053867658,1688231282.579967
52,100,3.46817361595,-2.38916551445,-33.2809481365,1.5566,-0.47241,5.2109,3.46642294564,-2.38908990145,-16.3149197816,1688231282.674437
53,100,3.46863126832,-2.39008630899,-20.6095475074,1.5479,-0.52588,23.0,3.46747097437,-2.38875490735,-0.357590309143,1688231282.76913
54,100,3.47,-2.389,-9.40796699605,1.5312,-0.54346,33.531,3.46675419967,-2.38792177584,11.630118713,1688231282.874991
55,100,3.46927776085,-2.38705864733,3.99398032528,2.2285,0.10486,27.188,3.46710030057,-2.38775554866,23.6814458163,1688231282.9471238
56,100,3.47195463122,-2.38585160878,14.6066738355,2.0215,-0.15613,67.438,3.46660242296,-2.38838460491,34.9478525091,1688231283.0190163
57,100,3.47085935829,-2.38418498534,25.4751364559,1.9766,-0.23633,84.5,3.46661365007,-2.38873323132,43.7221779516,1688231283.0910914
58,100,3.47194051749,-2.38296891088,33.9086241552,1.915,-0.29053,94.938,3.46668268008,-2.38882002584,50.6084765482,1688231283.1625242
59,100,3.46960849882,-2.3842326706,49.4808113897,1.8633,-0.33032,101.44,3.46604988141,-2.38920532879,58.2581645285,1688231283.2461922
60,100,3.47087014428,-2.3839865576,57.2035776296,2.0801,-0.5835,153.25,3.46684057138,-2.38913859166,64.0010238671,1688231283.3206522
61,100,3.47,-2.385,63.896253313,1.8721,-0.82129,161.0,3.4669878585,-2.38949386002,68.9897384339,1688231283.3940852
62,100,3.46999738051,-2.38400674968,69.0297371012,1.8721,-0.82129,164.88,3.46694721158,-2.38919161246,72.9280904898,1688231283.4680765
63,100,3.47108231393,-2.38297326523,72.9521901296,1.8965,-0.78076,176.62,3.46733023365,-2.38882315841,76.5507720409,1688231283.5424492
64,100,3.47099038906,-2.38294035592,76.6690794526,1.8965,-0.78076,179.5,3.46742367547,-2.38855416204,79.5127072899,1688231283.616174
65,100,3.47099187091,-2.38204459357,80.8485487382,1.7363,-0.50293,-172.38,3.4673766699,-2.38849174484,83.1562659134,1688231283.6923747
66,100,3.47117811085,-2.38091080521,83.7714012277,1.7363,-0.50293,-168.88,3.4675784451,-2.3883476018,86.7034787352,1688231283.7665086
