FRAME NR,SET SIZE,GROUND TRUTH X,GROUND TRUTH Y,GROUND TRUTH THETA,MCL X,MCL Y,MCL THETA,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,TIMESTAMP
50,100,3.466594036131515,-2.388869440808044,-2427.2629849453533,3.26,-2.03,-13.65,3.466594036131515,-2.388869440808044,-42.36373089908197,1687900125.6089456
51,100,3.4670705056834463,-2.390018103365552,-42.7735515996462,3.262,-2.053,-13.12,3.4666462556519306,-2.3890500441158893,-31.905386765794304,1687900125.6309776
52,100,3.4681736159478387,-2.389165514445496,-33.28094813648308,3.246,-2.076,-8.51,3.466422945638533,-2.389089901445175,-16.314919781635638,1687900125.6522763
53,100,3.468631268315532,-2.390086308989155,-20.60954750739103,3.273,-2.09,3.736,3.4674709743724,-2.388754907348052,-0.3575903091429069,1687900125.6734896
54,100,3.47,-2.389,-9.407966996048119,3.291,-2.096,-0.3906,3.466754199668632,-2.3879217758397875,11.63011871301707,1687900125.6964262
55,100,3.4692777608537972,-2.387058647327001,3.993980325284059,3.31,-2.092,11.375,3.4671003005677092,-2.3877555486572763,23.681445816324203,1687900125.7169905
56,100,3.4719546312154397,-2.3858516087806607,14.606673835528452,3.324,-2.123,17.89,3.466602422964032,-2.388384604907533,34.947852509051366,1687900125.738625
57,100,3.4708593582928904,-2.3841849853376296,25.47513645593176,3.342,-2.172,14.33,3.4666136500666322,-2.3887332313172496,43.72217795159595,1687900125.759704
58,100,3.4719405174894367,-2.3829689108755994,33.90862415516608,3.342,-2.191,13.1,3.4666826800816968,-2.3888200258367376,50.608476548207626,1687900125.7811756
59,100,3.4696084988206324,-2.384232670604259,49.48081138966731,3.342,-2.191,20.8,3.4660498814057936,-2.389205328789345,58.25816452846547,1687900125.805301
60,100,3.4708701442785506,-2.383986557599629,57.2035776296284,3.367,-2.207,30.58,3.466840571384151,-2.3891385916623853,64.00102386709476,1687900125.8265073
61,100,3.47,-2.385,63.8962533129894,3.367,-2.207,35.53,3.4669878584985816,-2.3894938600229185,68.98973843386098,1687900125.848423
62,100,3.4699973805087962,-2.3840067496789428,69.02973710122153,3.367,-2.207,39.38,3.4669472115841526,-2.389191612464669,72.92809048977036,1687900125.8702073
63,100,3.47108231393359,-2.382973265234154,72.95219012961776,3.367,-2.207,43.03,3.467330233651462,-2.388823158408922,76.55077204090584,1687900125.8919556
64,100,3.47099038905948,-2.382940355918088,76.66907945257714,3.367,-2.207,46.1,3.4674236754691403,-2.388554162038282,79.51270728991975,1687900125.914229
65,100,3.470991870911264,-2.3820445935696672,80.84854873818263,3.367,-2.207,49.62,3.467376669900894,-2.3884917448378835,83.15626591343195,1687900125.9359317
66,100,3.4711781108464512,-2.3809108052099317,83.77140122769937,3.408,-2.209,58.78,3.46757844509822,-2.388347601801923,86.70347873523045,1687900125.957051
67,100,3.4710648416164855,-2.3818068550177878,85.8314222326587,3.408,-2.209,61.4,3.4677154543372235,-2.3881237037690517,89.35235096528753,1687900125.9786787
68,100,3.471785169364395,-2.3806179015649294,89.64342250989034,3.443,-2.21,69.4,3.467395365085787,-2.3877447572167316,93.17400305017395,1687900126.000405
69,100,3.4709689610989356,-2.3810487539685825,95.42179445469485,3.443,-2.21,72.1,3.4673761135416328,-2.387928424354388,95.69593641388443,1687900126.023146
70,100,3.471,-2.38,97.55752377692528,3.443,-2.21,73.94,3.467593844226576,-2.3881633222132415,97.4870767461322,1687900126.046239
71,100,3.47003835365602,-2.3810148446965727,99.24949646862285,3.443,-2.21,75.44,3.4676431498396805,-2.3885909642059606,99.40130477366027,1687900126.0696023
72,100,3.4688935053933463,-2.381949127919833,101.92835362880695,3.457,-2.207,80.7,3.467509246307078,-2.3885247863971535,102.09657669585103,1687900126.091341
