FRAME NR,SET SIZE,GROUND TRUTH X,GROUND TRUTH Y,GROUND TRUTH THETA,MCL X,MCL Y,MCL THETA,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,TIMESTAMP
50,200,3.46659403613,-2.38886944081,-2427.26298495,1.7422,0.2876,16.469,3.46659403613,-2.38886944081,-42.3637308991,1687561175.4388738
51,200,3.46707050568,-2.39001810337,-42.7735515996,1.7109,0.30615,24.828,3.46664625565,-2.38905004412,-31.9053867658,1687561175.5778654
52,200,3.46817361595,-2.38916551445,-33.2809481365,1.7666,0.30151,41.312,3.46642294564,-2.38908990145,-16.3149197816,1687561175.7171378
53,200,3.46863126832,-2.39008630899,-20.6095475074,1.8252,0.3645,57.812,3.46747097437,-2.38875490735,-0.357590309143,1687561175.8559759
54,200,3.47,-2.389,-9.40796699605,1.6943,0.49219,67.562,3.46675419967,-2.38792177584,11.630118713,1687561176.0182147
55,200,3.46927776085,-2.38705864733,3.99398032528,1.5205,0.14832,49.062,3.46710030057,-2.38775554866,23.6814458163,1687561176.1099808
56,200,3.47195463122,-2.38585160878,14.6066738355,1.6279,0.091492,57.375,3.46660242296,-2.38838460491,34.9478525091,1687561176.2014284
57,200,3.47085935829,-2.38418498534,25.4751364559,1.6836,0.1521,48.5,3.46661365007,-2.38873323132,43.7221779516,1687561176.2930555
58,200,3.47194051749,-2.38296891088,33.9086241552,1.7324,0.21021,51.0,3.46668268008,-2.38882002584,50.6084765482,1687561176.385043
59,200,3.46960849882,-2.3842326706,49.4808113897,1.7324,0.21021,58.719,3.46604988141,-2.38920532879,58.2581645285,1687561176.5004106
60,200,3.47087014428,-2.3839865576,57.2035776296,1.6934,0.66553,132.0,3.46684057138,-2.38913859166,64.0010238671,1687561176.5937977
61,200,3.47,-2.385,63.896253313,1.6934,0.66553,137.12,3.4669878585,-2.38949386002,68.9897384339,1687561176.6874073
62,200,3.46999738051,-2.38400674968,69.0297371012,1.4971,0.76172,130.38,3.46694721158,-2.38919161246,72.9280904898,1687561176.7830884
63,200,3.47108231393,-2.38297326523,72.9521901296,1.4971,0.76172,134.12,3.46733023365,-2.38882315841,76.5507720409,1687561176.878183
64,200,3.47099038906,-2.38294035592,76.6690794526,1.4971,0.76172,136.88,3.46742367547,-2.38855416204,79.5127072899,1687561176.9721172
65,200,3.47099187091,-2.38204459357,80.8485487382,1.4971,0.76172,140.5,3.4673766699,-2.38849174484,83.1562659134,1687561177.06604
66,200,3.47117811085,-2.38091080521,83.7714012277,1.5225,0.771,147.88,3.4675784451,-2.3883476018,86.7034787352,1687561177.1630833
67,200,3.47106484162,-2.38180685502,85.8314222327,1.5225,0.771,150.38,3.46771545434,-2.38812370377,89.3523509653,1687561177.2575965
68,200,3.47178516936,-2.38061790156,89.6434225099,1.6074,0.69092,157.88,3.46739536509,-2.38774475722,93.1740030502,1687561177.3563466
69,200,3.4709689611,-2.38104875397,95.4217944547,1.6592,0.625,164.12,3.46737611354,-2.38792842435,95.6959364139,1687561177.4538739
70,200,3.471,-2.38,97.5575237769,1.5898,0.70312,173.38,3.46759384423,-2.38816332221,97.4870767461,1687561177.5514474
71,193,3.47003835366,-2.3810148447,99.2494964686,1.5898,0.70312,175.38,3.46764314984,-2.38859096421,99.4013047737,1687561177.6674385
72,193,3.46889350539,-2.38194912792,101.928353629,1.5654,0.61621,-137.0,3.46750924631,-2.3885247864,102.096576696,1687561177.7786238
73,183,3.46903932861,-2.38279075469,102.718827099,1.5537,0.70898,-129.0,3.46749398599,-2.38835296499,103.389987165,1687561177.911954
74,176,3.46893952463,-2.38200235395,105.207105116,1.459,1.0049,-77.75,3.4672654076,-2.38836556297,104.652285675,1687561178.048954
