FRAME NR,SET SIZE,GROUND TRUTH X,GROUND TRUTH Y,GROUND TRUTH THETA,MCL X,MCL Y,MCL THETA,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,TIMESTAMP
50,100,3.46659403613,-2.38886944081,-2427.26298495,3.916,-2.543,-44.062,3.46659403613,-2.38886944081,-42.3637308991,1687550882.3712316
51,100,3.46707050568,-2.39001810337,-42.7735515996,3.9102,-2.543,-44.844,3.46664625565,-2.38905004412,-31.9053867658,1687550882.4362364
52,100,3.46817361595,-2.38916551445,-33.2809481365,3.8848,-2.5176,-26.188,3.46642294564,-2.38908990145,-16.3149197816,1687550882.5015075
53,100,3.46863126832,-2.39008630899,-20.6095475074,3.8711,-2.4961,-10.516,3.46747097437,-2.38875490735,-0.357590309143,1687550882.5660367
54,100,3.47,-2.389,-9.40796699605,3.9062,-2.625,-59.656,3.46675419967,-2.38792177584,11.630118713,1687550882.6434553
55,100,3.46927776085,-2.38705864733,3.99398032528,3.877,-2.5957,-73.188,3.46710030057,-2.38775554866,23.6814458163,1687550882.7333734
56,100,3.47195463122,-2.38585160878,14.6066738355,3.8711,-2.5684,-61.25,3.46660242296,-2.38838460491,34.9478525091,1687550882.8237102
57,100,3.47085935829,-2.38418498534,25.4751364559,3.8613,-2.5547,-56.688,3.46661365007,-2.38873323132,43.7221779516,1687550882.9141347
58,100,3.47194051749,-2.38296891088,33.9086241552,3.834,-2.5469,-55.594,3.46668268008,-2.38882002584,50.6084765482,1687550883.004384
59,100,3.46960849882,-2.3842326706,49.4808113897,3.834,-2.5449,-47.969,3.46604988141,-2.38920532879,58.2581645285,1687550883.1049628
60,100,3.47087014428,-2.3839865576,57.2035776296,3.8086,-2.5254,-42.656,3.46684057138,-2.38913859166,64.0010238671,1687550883.1928513
61,100,3.47,-2.385,63.896253313,3.7852,-2.4883,-38.531,3.4669878585,-2.38949386002,68.9897384339,1687550883.2825813
62,100,3.46999738051,-2.38400674968,69.0297371012,3.7852,-2.4883,-34.594,3.46694721158,-2.38919161246,72.9280904898,1687550883.3713477
63,100,3.47108231393,-2.38297326523,72.9521901296,3.7852,-2.4883,-30.969,3.46733023365,-2.38882315841,76.5507720409,1687550883.4593596
64,100,3.47099038906,-2.38294035592,76.6690794526,3.7852,-2.4883,-28.016,3.46742367547,-2.38855416204,79.5127072899,1687550883.5481884
65,100,3.47099187091,-2.38204459357,80.8485487382,3.7852,-2.4883,-24.344,3.4673766699,-2.38849174484,83.1562659134,1687550883.637416
66,100,3.47117811085,-2.38091080521,83.7714012277,3.7852,-2.4883,-20.812,3.4675784451,-2.3883476018,86.7034787352,1687550883.726459
67,100,3.47106484162,-2.38180685502,85.8314222327,3.7852,-2.4883,-18.125,3.46771545434,-2.38812370377,89.3523509653,1687550883.8152974
68,100,3.47178516936,-2.38061790156,89.6434225099,3.7676,-2.4766,-14.617,3.46739536509,-2.38774475722,93.1740030502,1687550883.9073985
69,100,3.4709689611,-2.38104875397,95.4217944547,3.7578,-2.4766,-12.117,3.46737611354,-2.38792842435,95.6959364139,1687550883.9994216
70,100,3.471,-2.38,97.5575237769,3.7539,-2.4844,-10.406,3.46759384423,-2.38816332221,97.4870767461,1687550884.0916705
71,100,3.47003835366,-2.3810148447,99.2494964686,3.7363,-2.4688,-8.4297,3.46764314984,-2.38859096421,99.4013047737,1687550884.1841688
72,100,3.46889350539,-2.38194912792,101.928353629,3.7266,-2.4707,-5.8203,3.46750924631,-2.3885247864,102.096576696,1687550884.2770178
73,100,3.46903932861,-2.38279075469,102.718827099,3.7207,-2.4727,-4.5781,3.46749398599,-2.38835296499,103.389987165,1687550884.3823092
74,100,3.46893952463,-2.38200235395,105.207105116,3.459,-2.3203,-2.4355,3.4672654076,-2.38836556297,104.652285675,1687550884.466723
75,100,3.46799275449,-2.38097795606,107.427600179,3.4004,-2.3223,1.125,3.46734811178,-2.38835898145,106.266707659,1687550884.5505764
76,100,3.46716826262,-2.3805285676,108.055906864,3.3555,-2.3164,3.3125,3.46623513239,-2.38633815652,107.458716542,1687550884.6353784
77,100,3.46508057842,-2.37791419611,108.869047246,3.334,-2.3027,4.5664,3.46402069505,-2.38266689139,108.272976654,1687550884.7206876
78,100,3.46461097799,-2.37677810026,110.601807474,3.3008,-2.293,6.6016,3.45787115474,-2.37359061868,109.198562258,1687550884.8041718
79,100,3.4600466985,-2.37116711807,111.650090407,3.2676,-2.2891,9.875,3.44888268244,-2.36045722506,109.633941606,1687550884.8871763
80,100,3.45665040022,-2.36042585025,112.398501715,3.248,-2.2656,11.156,3.43905399075,-2.34351226235,110.214294195,1687550884.9699957
81,100,3.45231656208,-2.34967015124,112.423923406,3.2422,-2.2461,13.898,3.42255902851,-2.31910381642,111.088658938,1687550885.0528233
82,100,3.43467124417,-2.32773599933,113.149380215,3.2441,-2.2188,15.062,3.39926885729,-2.28894910776,111.20461763,1687550885.135348
83,100,3.42051576229,-2.30507434285,113.437370861,3.248,-2.1895,16.859,3.37568441089,-2.25624504306,111.088736006,1687550885.2174823
84,100,3.40655935065,-2.28425102845,113.91939912,3.2441,-2.1484,21.281,3.34964040688,-2.2165969118,111.928776864,1687550885.2996695
85,100,3.38034713136,-2.24926489116,114.759883868,3.2324,-2.1016,26.25,3.32465928178,-2.18072138209,112.769261611,1687550885.379845
86,100,3.36724132293,-2.22385014273,114.172593382,3.25,-2.0586,28.359,3.29884949473,-2.14412405805,113.594924156,1687550885.4601822
