FRAME NR,SET SIZE,GROUND TRUTH X,GROUND TRUTH Y,GROUND TRUTH THETA,MCL X,MCL Y,MCL THETA,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,TIMESTAMP
82,100,0.398291017316,-2.41775839387,1337.85514559,0.41846,-2.2109,-4.4961,0.398291017316,-2.41775839387,23.3499772053,1687549488.7811875
83,100,0.398727687572,-2.41705035524,22.7208023743,0.4353,-2.2031,-0.89062,0.400445735375,-2.41468530999,21.5377578406,1687549488.8860712
84,100,0.402338056129,-2.41164679038,21.5096967986,0.43945,-2.1914,1.1846,0.406586932759,-2.40546426523,18.8954663422,1687549488.985268
85,100,0.404755368348,-2.40931124347,20.2679018011,0.4541,-2.1758,2.8203,0.415901333167,-2.39146349429,15.8090117031,1687549489.0818765
86,100,0.412698496168,-2.39971074769,17.4874221708,0.45923,-2.1719,0.20557,0.428874148479,-2.37495267651,13.2344079856,1687549489.1792512
87,100,0.42178350167,-2.3935899676,14.8656614693,0.46606,-2.1621,-1.9727,0.448009443173,-2.34938948799,10.7506936874,1687549489.2726777
88,100,0.434962340888,-2.37773649812,12.1154582523,0.48145,-2.1445,0.41504,0.466573511619,-2.32408209959,8.8018573538,1687549489.3692915
89,100,0.452,-2.364,10.2616741108,0.49219,-2.1016,5.2891,0.491505985359,-2.28997425916,7.21057680409,1687549489.465579
90,100,0.47644181313,-2.32943645105,7.15773840828,0.51318,-2.0586,7.8242,0.515715382174,-2.24920611552,5.43719229111,1687549489.5641618
91,100,0.4982394518,-2.29617221089,5.91212077613,0.5293,-2.0098,8.8984,0.539495122851,-2.20453280629,4.23991132188,1687549489.6604698
92,100,0.528186547423,-2.2682974618,4.45366159375,0.55322,-1.9717,8.2422,0.563293394018,-2.15680223818,3.50128542242,1687549489.7583869
93,100,0.551826687895,-2.23081188029,3.7351547561,0.56836,-1.9385,7.9375,0.585888781991,-2.109582593,3.21718155304,1687549489.8508995
94,100,0.580875722199,-2.18891695073,3.19061648692,0.59717,-1.8965,8.7344,0.607488069,-2.06240396464,2.86387124212,1687549489.9491005
95,100,0.610093109459,-2.15230684151,3.45054706566,0.6333,-1.8359,7.2266,0.63273244891,-2.00495514211,3.03066492106,1687549490.0451272
96,100,0.631561247951,-2.11554248454,2.69391738728,0.64453,-1.793,7.2305,0.65001401921,-1.96317896542,2.87579492389,1687549490.152118
97,100,0.656920129918,-2.07315999299,2.7461029791,0.76562,-1.75,5.7891,0.67171934221,-1.91151396095,2.54589915252,1687549490.2584627
98,100,0.676828166623,-2.0322207058,2.91348001221,0.76904,-1.7031,5.4453,0.689251050682,-1.86927512262,2.24716925164,1687549490.3594534
99,100,0.69675721366,-1.99023922071,2.87269506253,0.77539,-1.6455,5.4961,0.708265605523,-1.82253705516,1.8223035992,1687549490.4600713
100,100,0.71995825074,-1.94456745396,2.24378315082,0.78955,-1.5986,5.625,0.728342993364,-1.77514857466,1.82842468152,1687549490.5615687
101,100,0.736864383222,-1.90277403808,2.28346351205,0.80908,-1.5635,5.0234,0.745551655012,-1.73347881475,1.86810504276,1687549490.6692173
102,100,0.757788518944,-1.86887049776,1.93777657492,0.84668,-1.5293,4.0781,0.765450389279,-1.68651461898,1.94581058893,1687549490.7680142
103,100,0.773638796511,-1.83630950931,1.31732506647,0.85938,-1.4951,3.6094,0.78083690557,-1.64922860169,1.52254317113,1687549490.8688407
104,100,0.791846983072,-1.80264924983,1.80359374264,0.88281,-1.4668,3.5117,0.798606786478,-1.60735670653,1.56641350363,1687549490.9703565
105,100,0.811214249823,-1.76110136238,1.63434269892,0.8999,-1.4199,3.2148,0.81699490666,-1.56157609324,1.27368377107,1687549491.068237
106,100,0.82409550065,-1.73031484521,1.50234900277,0.92773,-1.4072,3.0039,0.832024065657,-1.52508963181,1.01219221957,1687549491.168232
107,100,0.842805967079,-1.69058795807,1.47823111144,0.94531,-1.3691,2.4219,0.850590166973,-1.48031958053,0.463381286786,1687549491.2756214
108,100,0.860397755524,-1.65116929205,0.4640318051,0.95068,-1.4102,3.6895,0.866852475681,-1.44016066,-0.13959740615,1687549491.3784907
109,100,0.878291951429,-1.61498373173,0.246235252312,0.97852,-1.3809,3.1504,0.883353746291,-1.40185831471,-0.609254613151,1687549491.4927895
110,100,0.894808733427,-1.57697568048,-0.203761488822,0.99951,-1.3447,2.4219,0.89872373432,-1.36419099262,-0.872009675594,1687549491.5955606
111,100,0.911600181021,-1.54390120964,-0.635983152595,1.0078,-1.3086,2.7363,0.914162155329,-1.32715294365,-0.825797639379,1687549491.6973839
112,100,0.924533666504,-1.51246975286,-0.878281230548,1.0176,-1.2686,2.5039,0.929432157903,-1.28730126492,-1.02304292977,1687549491.7988691
113,100,0.935322647701,-1.48232172346,-0.90263540734,1.041,-1.2461,1.918,0.942210281601,-1.25596661288,-1.27178314932,1687549491.9008853
114,100,0.950975385789,-1.44957535254,-0.683316465545,1.0566,-1.2178,1.9102,0.955966529289,-1.22205152052,-1.15422184936,1687549492.0030677
115,100,0.96439700751,-1.41933810974,-1.22836614947,1.0811,-1.1943,1.8525,0.969752195536,-1.1855446508,-0.983618583094,1687549492.1047533
116,100,0.974395386796,-1.38420166502,-1.19873942047,1.0928,-1.1592,1.8965,0.98365230502,-1.14997646415,-0.936812559713,1687549492.202615
117,100,0.988315171545,-1.35899972428,-1.06903435148,1.1025,-1.1299,1.543,0.993666654465,-1.12235264801,-0.97888185854,1687549492.3048513
118,100,0.997268773298,-1.33373338112,-0.0189076604193,1.1299,-1.1064,1.1572,1.00504602464,-1.09212223961,-0.931353565836,1687549492.410094
119,100,1.01340581245,-1.29847493065,-0.785903212284,1.1387,-1.0801,1.1611,1.01794984467,-1.05937559769,-1.05891864104,1687549492.511237
120,100,1.02274508992,-1.27264270705,-0.853707114745,1.1455,-1.0488,1.1572,1.02915407566,-1.03119946666,-1.06614976009,1687549492.6086564
121,100,1.03598544243,-1.24329116294,-0.760905467631,1.1553,-1.0244,1.335,1.03988303665,-1.00307390753,-0.897068891088,1687549492.716728
122,100,1.04610191107,-1.22014023927,-0.97435966683,1.1855,-1.0977,0.81396,1.05131948803,-0.973364135118,-0.864713918511,1687549492.8176584
123,100,1.05612308609,-1.19544245669,-0.542831251355,1.2021,-1.0762,0.27734,1.06129628974,-0.947952801183,-1.13046917262,1687549492.9179702
124,100,1.06551958484,-1.17019443604,-1.13980271928,1.2227,-1.0547,-0.26562,1.071459331,-0.922584608746,-1.26985654073,1687549493.019409
125,100,1.07608762279,-1.14814143922,-0.902358943777,1.2285,-1.0322,-0.54492,1.08093461745,-0.897558431419,-1.4910478034,1687549493.1214852
126,100,1.0860873872,-1.12630952952,-1.8860103039,1.2393,-1.0098,-0.74609,1.09071850394,-0.873128702776,-1.52141613985,1687549493.2223654
127,100,1.09598495629,-1.09856258977,-1.38039826446,1.25,-0.9834,-0.6709,1.10070887047,-0.846765666757,-1.44613254586,1687549493.3179724
128,100,1.10447721106,-1.07673634573,-1.2737555169,1.2568,-0.95898,-0.37207,1.10887400926,-0.823339537213,-1.14553884197,1687549493.4154902
129,100,1.11027980813,-1.05871564251,-1.03844556302,1.2607,-0.93506,-0.33228,1.11601713609,-0.802951115548,-1.06417874407,1687549493.5159886
130,100,1.12094894642,-1.03746584338,-0.850491838208,1.2773,-0.9165,-0.43506,1.1259480653,-0.778129952312,-1.20657063598,1687549493.6177106
131,100,1.12455559263,-1.02002378738,-0.325150307156,1.2871,-0.8916,-0.40112,1.13498155944,-0.753580056972,-1.17209214768,1687549493.714297
132,100,1.13240697223,-1.00119291985,-1.10555508083,1.2949,-0.87158,-0.11951,1.14306963319,-0.732746808539,-0.89008168352,1687549493.810427
133,100,1.13593416271,-0.983803303183,-0.517941392937,1.3018,-0.85303,-0.12207,1.15074498364,-0.711921818792,-0.814309222687,1687549493.9122455
134,100,1.14472277219,-0.969492927806,-1.16504848877,1.3203,-0.83691,-0.5083,1.15881898068,-0.691758556314,-0.878603144039,1687549494.014012
135,100,1.14944953984,-0.954027560047,-0.238471192175,1.332,-0.82422,-0.54004,1.16560604023,-0.673537514641,-0.933663684201,1687549494.1158874
136,100,1.15890374959,-0.92474207145,-0.423988768397,1.3438,-0.79834,-0.65234,1.17696707136,-0.644729297336,-1.04489726834,1687549494.212689
137,100,1.16725990923,-0.900726045515,-0.526481155538,1.3535,-0.77783,-0.34863,1.18685116561,-0.620318724635,-0.706665773491,1687549494.313073
138,100,1.17582872809,-0.884328691417,-0.517566563412,1.3643,-0.75635,-0.17297,1.19523458674,-0.598898393524,-0.530787360382,1687549494.4103634
139,100,1.18440807285,-0.863762120809,-0.293337590012,1.3789,-0.74121,-0.34497,1.20202748109,-0.579752151988,-0.54448896683,1687549494.5107777
140,100,1.18920120151,-0.849922455261,-0.446536751858,1.3848,-0.72705,-0.10132,1.20897225612,-0.561245020201,-0.30201513651,1687549494.6081195
141,100,1.1956619544,-0.834815309753,-0.777509846188,1.4043,-0.71338,-0.55029,1.21504037484,-0.544898308564,-0.649890191217,1687549494.7086523
142,100,1.196,-0.818,-0.572957795131,1.4082,-0.69385,-0.14478,1.2220485742,-0.525243417565,-0.241514085961,1687549494.817913
143,100,1.20340896026,-0.804976338831,-0.420291177829,1.4258,-0.7793,-0.63965,1.22859304029,-0.507159846671,-0.581100357624,1687549494.9194522
144,100,1.20887487372,-0.787638093018,-0.16171846779,1.4395,-0.77002,-0.80127,1.23634505959,-0.488125527651,-0.904682008756,1687549495.0210683
145,100,1.216,-0.775,-0.727656399816,1.4512,-0.75391,-1.2217,1.24395952717,-0.469475442437,-1.36600147129,1687549495.123053
146,100,1.22388026688,-0.751681076052,-1.12575233432,1.457,-0.73389,-1.4941,1.2518158294,-0.44885631084,-1.63949524905,1687549495.2211094
147,100,1.22972500953,-0.733993806001,-1.22472365776,1.4639,-0.71875,-1.1914,1.25872564347,-0.430269103385,-1.33442159382,1687549495.3242824
148,100,1.23768200142,-0.721215737199,-1.79178468104,1.4688,-0.70312,-1.1602,1.26666043163,-0.411565293372,-1.30687238747,1687549495.421317
149,100,1.24308206389,-0.707491389835,-1.21852849098,1.4805,-0.68848,-0.95605,1.27241988544,-0.395175118135,-1.06711467012,1687549495.5218189
150,100,1.24982264439,-0.691557793822,-1.48499999367,1.4854,-0.67285,-0.63379,1.27836197185,-0.379462028613,-0.744091647229,1687549495.6195455
151,100,1.25272503639,-0.677225628899,-0.500306929011,1.4902,-0.65186,-0.31958,1.28457921871,-0.361362168571,-0.430539530147,1687549495.7187514
152,100,1.25891197509,-0.663651429056,-0.555783022642,1.499,-0.63818,-0.21143,1.29045746143,-0.345436283564,-0.323319882648,1687549495.8158603
153,100,1.26255465633,-0.653284135432,-0.44576036044,1.501,-0.62695,-0.33911,1.29527140579,-0.332189312869,-0.456972567971,1687549495.9171124
